y,x
762,1062
725,1544
153,996
838,866
373,1760
389,545
548,1172
1057,1431
610,353
966,1795
482,591
704,1438
314,931
659,1434
680,1650
366,256
174,1339
398,1364
84,1840
401,998
981,1116
115,811
136,398
349,989
842,1479
341,38
1029,1079
49,560
279,318
261,1151
118,1642
337,768
434,196
631,810
951,126
695,636
421,1496
852,1596
126,158
764,1798
572,550
325,809
112,1181
387,463
687,1330
3,247
596,123
118,1495
666,1701
601,1919
278,1261
750,491
699,920
1035,826
370,1649
163,973
1043,1235
477,877
213,243
132,747
209,1032
289,936
97,1296
204,1825
123,508
299,699
216,1385
867,1643
894,1772
713,1495
169,604
840,777
447,975
728,446
106,779
418,1328
485,1271
448,629
729,876
1036,1752
557,829
463,1010
20,78
978,1824
277,1809
1067,116
845,1490
911,1018
747,1632
81,1498
447,1722
834,70
1039,1511
62,1762
929,1107
652,1632
11,1354
867,1776
156,1231
684,1478
588,1509
741,765
747,215
62,312
806,1226
284,455
632,1463
1063,119
1067,1737
411,855
364,1460
683,284
1066,643
87,1612
305,308
734,464
422,1036
985,815
1014,587
652,125
723,1342
922,1469
1071,889
350,340
187,1701
595,88
6,96
501,1825
255,1000
966,1522
584,636
435,647
307,125
854,748
146,1304
991,1700
679,151
751,970
938,1288
402,371
914,501
323,513
934,468
200,1462
921,1014
1024,1598
159,111
669,1669
275,1875
913,411
536,1095
953,180
130,866
241,1274
699,1612
342,883
1030,139
252,1849
689,1317
1075,22
974,1862
56,1498
1023,348
640,1669
443,318
1060,1193
991,1663
467,294
48,342
889,599
520,774
566,1599
598,1444
1045,1280
1077,1398
45,1172
1013,1281
838,505
96,1870
39,1283
871,1227
249,1392
115,1571
855,775
682,1266
641,1870
415,1878
810,588
671,491
663,856
946,379
8,782
722,1699
152,1211
1016,532
286,1532
95,313
31,114
162,233
551,1177
63,1478
731,397
460,1780
156,1516
908,1530
114,1882
928,122
712,110
1067,611
378,1356
393,925
995,1511
982,945
1055,1909
365,1515
683,1276
380,319
154,944
708,222
965,1510
482,1653
852,385
520,1858
660,241
117,891
960,894
965,1812
588,1394
1072,1841
855,437
626,987
876,1437
1043,1708
399,1461
273,964
732,1185
918,1822
133,40
195,230
306,1725
12,543
923,615
143,1773
1079,925
1037,379
147,1440
595,1224
65,216
211,822
153,591
321,863
1038,828
429,798
739,119
276,325
816,180
503,1488
787,936
809,12
508,1074
398,1187
139,1710
1054,1703
1043,743
377,1151
149,1131
43,1614
853,20
459,1090
405,1327
375,1588
779,450
672,247
596,757
765,1058
178,123
582,1062
84,1545
947,1039
989,594
200,1268
32,253
1049,1904
486,503
177,1731
475,1738
466,459
323,355
782,1343
549,1173
747,1267
869,1842
873,267
251,58
138,1286
367,57
675,1157
211,42
613,996
1000,93
304,942
636,839
555,1174
884,1509
520,1758
97,1326
91,1462
1033,21
577,383
675,472
677,1138
8,194
764,1322
430,968
914,1542
763,123
303,1623
308,1550
574,94
236,438
962,391
692,1390
784,445
323,250
781,260
490,1897
72,1344
498,85
404,1133
288,1771
652,1525
763,1452
956,1304
350,145
705,952
325,909
823,879
734,1169
399,1558
982,878
409,1533
201,1306
788,324
101,126
940,1892
219,1639
803,1564
193,1256
47,1011
1004,226
351,539
111,1447
671,1891
834,283
1007,1529
578,1888
171,1798
770,1786
777,145
1032,210
817,1515
818,1210
1054,1248
929,570
1016,61
219,84
715,1089
1030,1362
761,1330
676,527
850,488
220,1089
565,985
106,1083
716,1880
244,36
392,866
479,1425
800,313
970,1475
111,1689
822,763
394,1096
516,442
723,1064
999,1002
586,931
623,709
391,1162
1006,1884
947,318
355,711
484,115
355,645
186,1912
867,1039
374,1796
729,293
457,928
380,1588
17,1710
360,745
171,1413
117,1763
370,67
634,1692
312,1188
442,71
123,1258
419,1836
847,1140
1073,924
237,1771
182,1215
669,795
107,159
270,1878
617,570
38,112
435,1552
768,550
845,1042
1079,928
292,694
792,1512
793,142
374,22
101,1027
539,123
43,1821
642,1757
349,505
555,733
993,1667
966,1780
161,454
895,1458
461,872
923,809
760,837
517,1282
638,1256
532,414
1048,414
979,1503
1017,101
686,1292
414,479
559,375
599,682
540,52
320,28
919,1023
65,1582
514,35
1033,65
1003,1409
92,1177
106,1641
606,373
256,544
341,1869
273,149
266,1338
714,1678
133,1059
938,281
256,1223
409,1734
578,153
171,1608
6,844
713,1718
179,428
604,1667
366,710
637,1202
97,1284
109,1900
876,562
1038,626
266,1903
368,480
54,1806
252,742
265,1575
1030,1300
804,1287
960,1300
133,1790
161,94
591,1320
508,1346
476,44
181,984
273,298
247,1643
888,774
672,1079
729,227
859,410
685,912
211,1859
722,1917
564,444
448,1526
160,1145
294,382
494,997
507,581
61,1884
291,1639
887,1039
263,1530
889,1529
10,1569
244,1156
650,585
65,1256
602,1457
867,1565
821,1653
456,1665
241,1473
325,1825
243,559
421,385
997,390
310,675
699,1528
232,871
221,1672
643,91
311,901
572,1281
849,730
686,1236
503,353
645,1545
1013,730
497,580
902,890
278,1296
144,1413
661,1606
917,1655
943,1131
29,173
688,37
231,1119
454,1062
169,1773
44,1223
364,857
702,667
3,1149
556,845
220,118
250,1693
956,1324
392,465
978,1454
255,1545
818,1115
296,1529
622,246
300,1460
328,736
353,583
560,1765
230,1461
915,1715
686,922
1042,866
632,862
735,1192
941,1259
19,69
363,111
524,981
1029,1303
192,1056
833,1287
904,247
383,978
824,922
367,880
159,1170
611,896
1055,498
878,1722
670,1357
829,1163
991,1782
434,9
1008,1632
1040,599
99,1306
465,1227
919,1741
929,1510
207,615
468,1362
806,1482
907,110
170,4
73,1817
1014,357
594,1718
606,4
578,972
800,1729
527,866
190,1480
181,909
880,1336
667,75
836,1861
391,1590
827,952
620,1530
112,44
171,526
837,581
116,275
268,1906
521,314
301,1260
162,352
480,86
930,1518
223,79
992,1441
339,1635
821,686
620,115
359,1106
214,1582
84,1589
116,1585
671,10
145,1243
218,1299
60,1163
279,205
832,1307
421,519
415,609
873,403
67,982
512,1827
544,1491
228,1835
801,1740
923,1366
882,1723
996,1623
221,1499
457,1574
832,1157
1023,655
272,706
1057,587
281,966
15,835
85,337
475,1313
790,1296
68,1005
143,1456
688,761
420,6
913,1690
317,1009
867,1644
1,732
308,1023
139,632
551,17
553,24
271,354
845,1861
686,839
872,314
448,1898
253,877
1049,1341
352,1382
704,781
395,1480
104,562
800,1378
87,1457
602,142
203,1448
864,60
685,305
618,1150
470,1234
588,894
943,686
1059,1845
376,1312
117,1303
421,1684
966,443
869,834
732,1527
588,1411
395,1736
1043,1614
761,134
1055,1094
740,853
179,590
310,1270
894,778
635,1443
282,1777
50,517
614,1051
623,199
917,623
971,1854
467,1831
796,985
333,1043
831,818
299,329
196,851
750,489
222,537
875,1316
554,1406
1032,709
500,1295
708,280
1001,579
513,141
996,1112
606,270
271,264
530,164
418,466
326,1570
272,478
909,1368
198,102
415,555
370,1843
287,1300
523,8
758,343
728,365
653,755
164,1663
298,1143
845,859
394,1471
504,97
375,1244
1068,1385
139,1848
412,1191
214,1389
102,1830
771,621
162,302
401,645
723,1231
328,1876
355,457
799,1545
326,225
377,352
566,1519
941,231
1002,870
522,1805
17,470
749,187
103,1670
125,1442
884,1193
843,170
468,1330
49,1863
173,1588
1046,126
338,206
157,1347
817,409
205,1876
375,1672
379,480
560,1513
414,669
517,440
844,1483
609,675
588,110
101,1841
692,106
860,45
297,709
909,1664
176,1744
283,404
876,957
326,1521
76,1792
434,1200
318,1444
911,748
844,3
440,1693
298,1342
451,1692
934,116
728,1583
17,1642
359,1406
464,1070
645,947
990,1207
732,500
251,1247
198,867
405,321
795,939
54,1499
33,1028
294,279
683,869
1076,307
904,1116
596,1303
576,1577
161,729
648,1625
906,1412
131,1088
721,1559
532,734
950,42
188,337
610,1569
785,1453
855,975
112,629
494,1640
906,1613
369,1231
869,570
1044,376
473,1624
739,217
775,475
600,605
278,1397
732,542
335,840
767,1194
990,972
95,226
177,1198
841,545
97,1083
734,765
373,759
897,1317
340,304
817,1379
1051,691
735,1844
757,1132
910,540
453,1298
56,1211
209,1132
518,309
815,1692
0,190
1037,55
564,1554
627,871
629,1270
19,285
791,1301
636,1821
230,1255
24,900
1001,182
333,1665
982,1815
996,1207
231,886
98,1034
1012,1368
897,1887
942,640
840,480
1028,480
100,1656
405,833
624,507
381,156
313,1734
555,549
1004,1812
487,707
88,113
955,19
521,302
45,1023
603,766
332,1714
824,1730
79,1159
612,595
239,1918
629,1718
219,330
152,1532
299,642
695,1756
1072,1706
719,1797
636,1874
194,1029
666,479
526,325
761,529
17,671
440,1917
41,1831
219,1410
615,1907
229,1190
695,646
211,284
198,703
514,631
541,1195
1076,1535
914,204
80,261
376,887
59,1071
16,1537
64,1606
260,790
422,77
813,510
395,645
886,79
500,625
945,1528
939,48
257,1507
877,716
178,1515
896,327
922,1474
642,829
532,1864
756,93
718,350
792,781
862,1018
153,1881
14,1392
531,1129
221,447
273,1365
372,886
613,1752
312,1642
114,978
547,917
477,929
854,1674
993,1764
786,194
958,988
694,224
812,276
236,889
1076,1119
648,1351
825,1345
179,1544
435,341
847,1575
755,1626
700,686
398,526
723,210
206,1418
473,59
501,427
50,1163
861,602
1053,1634
1053,944
949,914
1053,341
257,1893
52,1854
729,1230
1025,474
574,1374
861,1586
275,295
941,1461
586,240
256,1562
880,1853
206,618
943,1713
819,99
177,1227
803,1457
291,1293
772,30
597,1759
434,1018
733,1656
881,701
1001,298
670,1555
922,1606
871,1677
616,1171
734,1211
174,1137
455,1822
877,414
414,1856
103,98
168,1185
209,1885
190,24
226,1800
479,30
624,1440
958,460
972,1165
256,1608
121,833
1025,1270
852,1492
212,652
929,279
709,335
1035,836
225,839
398,1691
837,1041
955,866
675,1826
740,1389
690,460
695,1130
744,1825
537,204
622,212
578,1150
270,1296
363,390
567,1393
18,1775
404,147
696,190
1036,744
674,314
937,453
222,1448
988,321
35,579
807,108
978,574
362,855
855,1511
176,805
671,0
6,600
808,454
307,1612
884,1048
843,1115
724,1302
672,38
278,1717
542,1642
1046,388
510,54
269,444
357,1428
46,619
660,472
437,976
771,1758
814,1087
647,1117
907,1898
572,1031
822,1511
591,883
368,354
593,944
4,1699
865,1221
804,1223
611,1630
254,958
630,513
554,90
433,1200
874,735
739,1023
703,1329
11,147
198,212
769,781
293,1788
256,1436
83,1766
975,632
67,1423
245,417
863,1712
562,1090
748,756
805,672
1007,220
651,1431
616,1392
614,350
846,58
686,257
70,1287
845,96
238,32
786,1908
690,488
543,1843
1004,741
769,472
627,1865
11,1145
997,1801
823,561
0,1172
480,1752
117,300
476,1291
934,1587
700,1577
177,1414
114,1306
841,298
54,332
349,109
724,1884
565,1855
936,579
844,70
715,1608
99,1610
1075,322
715,1853
661,423
576,1533
538,248
1067,1384
996,1109
780,434
523,1481
641,1177
940,1246
984,296
523,887
160,351
145,1302
175,1019
578,727
358,1359
353,1568
540,993
738,661
876,1890
124,1659
707,1259
153,105
17,317
251,1783
202,1059
16,1354
396,1891
395,1074
774,1816
971,1497
780,433
408,1454
450,282
158,552
258,1611
11,144
641,1128
683,128
774,1155
932,754
592,790
857,1488
558,521
334,1805
1043,1621
11,982
939,1903
353,1847
442,1271
327,310
4,1097
834,1619
918,1612
761,1151
815,1262
254,1076
1063,1007
688,700
891,1019
944,1578
1047,1274
388,1018
894,1216
61,785
850,1055
912,634
909,1148
76,665
724,475
913,1867
1026,1866
32,250
69,361
663,483
508,508
531,403
240,79
219,1246
1048,1504
334,1835
677,184
703,1756
505,260
349,1716
135,1627
520,1505
810,1267
174,1760
211,669
617,768
889,520
381,1059
233,833
692,727
170,217
940,1380
442,581
1026,1633
953,651
70,247
892,1206
627,1306
584,109
1001,1170
732,1438
605,1219
665,619
459,1459
339,1537
787,819
536,1549
403,387
528,1098
273,145
739,1752
265,676
397,923
853,1558
636,513
953,1880
1011,737
283,351
214,1807
506,945
789,1089
778,705
589,850
31,269
198,1608
864,1554
600,726
197,1005
728,253
154,1734
241,1701
0,91
155,906
269,1324
505,1679
711,986
995,481
704,21
949,1591
532,428
580,1661
683,1784
196,898
50,1570
182,1267
666,1680
165,733
1015,882
303,1232
1037,1170
262,716
613,120
405,401
738,1442
882,623
80,1842
1007,1622
480,1738
672,1834
551,333
659,801
187,1451
979,1775
1039,544
1066,715
294,1233
321,824
747,1055
562,1667
611,1837
710,1357
298,1140
230,1295
63,813
843,104
52,1470
298,267
922,639
298,715
122,760
1055,1701
963,762
416,659
153,1675
925,80
315,1060
995,892
103,484
1073,1708
573,1764
1051,301
304,1227
324,1232
224,1143
329,1667
833,1544
478,1622
933,1145
506,774
891,153
652,812
255,1385
215,1340
653,62
66,1573
924,1548
924,1218
289,335
497,21
788,1012
118,304
874,1410
540,1360
330,1879
782,152
695,329
1034,214
951,614
6,1777
310,1118
777,1618
171,1276
778,982
249,1279
838,1047
655,496
796,1363
362,495
992,1824
944,1910
229,613
360,866
297,1427
988,102
185,1410
229,1577
481,1350
553,1242
451,1439
120,370
411,701
1012,353
709,1534
1043,1262
245,303
800,757
737,1127
846,484
342,1690
113,954
1075,1564
435,584
776,536
67,275
50,1547
261,1727
976,563
746,1427
66,210
632,433
650,1739
25,1177
198,1153
729,1243
237,709
726,101
687,724
670,107
481,1885
582,1912
656,1059
280,317
717,1188
145,968
416,696
965,1825
452,139
576,1082
253,332
414,1080
957,638
789,989
244,1749
319,655
531,895
429,1671
636,1252
252,2
951,234
152,407
869,1243
922,1086
886,916
901,1857
759,202
597,1201
990,548
415,624
1004,1652
788,1142
291,721
584,74
826,1643
234,1297
5,710
590,659
150,1457
507,1076
817,380
396,1174
892,1375
126,676
877,1805
927,1616
932,563
302,610
587,1263
655,679
1008,708
147,1146
944,24
85,289
639,1531
213,247
137,1395
597,416
495,1766
800,1373
295,154
300,966
546,1503
201,323
390,578
409,1508
872,775
1067,1330
19,568
933,1700
93,79
878,1318
582,1747
810,1398
832,1324
105,1232
617,1191
889,455
453,1776
637,835
106,1477
905,1701
506,1140
112,1709
963,431
1070,1783
270,1688
473,1611
1075,763
794,1258
1015,1413
347,183
706,383
438,1634
953,1311
12,171
717,466
95,1157
61,848
132,731
1013,320
1,884
367,1388
99,27
1073,874
593,1576
801,1571
885,376
678,984
765,694
108,1791
414,603
541,994
185,1350
617,86
255,1166
108,659
1056,1123
288,1188
73,383
1043,330
1038,385
640,1701
507,294
884,564
284,1410
950,1417
478,1090
831,1507
532,657
348,417
141,266
1017,1633
874,1755
903,1817
431,866
461,269
651,1390
193,1704
133,1837
613,1381
120,219
711,1215
269,23
301,1478
706,722
961,1892
526,1196
506,458
651,71
159,828
749,1673
264,851
475,311
223,305
744,1505
919,1305
279,150
211,1202
581,1127
556,1202
933,801
266,1221
1055,454
98,1011
352,1055
411,357
767,954
715,770
855,540
152,1460
609,503
326,1328
634,1334
1054,1356
810,1529
639,137
324,1796
777,904
588,769
148,1197
850,45
788,368
956,591
992,1900
885,700
478,1423
224,638
623,1164
924,18
724,1662
391,42
397,1163
86,335
118,783
390,604
109,1027
531,98
11,754
711,482
85,477
219,1135
229,746
848,1902
269,1762
665,1179
253,846
1052,1832
848,1664
92,253
54,1369
999,1919
249,825
605,793
575,1723
146,1604
708,1786
1010,1535
999,1251
60,1171
271,1358
912,495
957,1897
150,915
562,1429
567,190
550,551
607,1428
235,1237
276,1336
632,810
28,1807
330,288
873,139
774,1865
122,346
524,1081
945,1756
5,349
799,1771
317,696
601,1242
405,478
867,576
611,292
759,509
643,1554
208,1736
388,1755
534,987
591,1706
333,1424
879,1620
788,723
738,489
508,1435
777,668
468,220
184,1430
695,764
398,1687
192,101
741,903
1078,1066
650,206
224,1528
709,413
880,377
575,926
742,860
597,1222
356,1275
252,1014
431,1142
490,883
771,1791
172,1423
128,793
899,762
804,1688
829,1553
421,1356
998,1655
439,725
196,476
106,1856
746,1180
158,1000
28,1025
714,1227
346,1526
357,1644
811,1861
466,1186
1006,1421
524,1799
538,1645
1024,1626
903,244
246,1482
857,69
112,689
1044,260
721,1089
608,840
557,1217
414,1163
662,153
588,538
831,544
225,1150
497,1286
692,1285
914,1491
564,1816
646,491
681,1069
338,1291
404,1229
918,1876
415,1238
572,239
323,1882
398,1846
856,1355
546,207
4,299
888,654
953,27
212,565
247,496
940,1124
861,673
91,942
1060,738
532,1318
840,1390
94,514
619,39
780,1853
910,1575
675,543
141,408
75,1664
631,762
951,840
655,1508
592,1763
788,1071
635,1665
557,466
855,1877
143,401
276,468
501,356
849,1437
277,1511
943,663
968,605
175,1190
26,1339
505,1568
815,1200
405,160
927,1868
653,1363
907,1188
1035,811
807,1014
667,1171
508,831
99,857
6,419
35,1711
277,1352
617,30
946,1513
483,900
1010,1090
538,1786
330,1583
719,395
414,919
562,1057
815,1571
146,279
688,522
494,493
643,1148
616,816
657,1562
1019,532
230,702
212,917
192,1482
652,868
150,708
400,90
331,1432
724,1500
367,1804
789,985
432,1510
879,1827
618,563
757,389
601,1456
393,217
290,590
187,201
63,1118
33,125
298,1491
552,776
876,1662
652,1212
606,701
682,511
804,1182
489,91
454,598
879,232
862,74
608,1870
934,1039
526,582
115,974
978,1506
516,1748
1005,1388
627,1006
742,523
626,1888
1079,1182
285,1621
817,532
984,1348
4,1836
425,593
538,1071
285,538
749,593
64,527
1070,1871
584,1674
817,371
311,1633
546,656
376,237
517,1227
475,1259
364,1829
552,1030
669,1419
316,1202
539,583
504,38
520,1287
541,928
816,1634
740,485
479,1236
311,1552
137,443
434,788
560,1828
900,1792
43,912
782,18
297,1042
83,258
148,1868
652,620
457,615
872,358
327,1634
103,571
576,286
105,1408
1035,984
785,1552
761,1618
452,1172
850,734
278,1841
1012,700
68,847
850,349
618,1767
220,1320
746,656
880,1616
3,39
883,734
569,1150
698,1392
57,1790
522,317
646,510
272,1205
923,828
516,1904
122,736
648,1697
1062,1727
845,1115
79,729
69,535
527,110
667,887
454,1548
799,634
346,1316
820,1198
546,1846
590,885
1027,1232
122,311
209,51
571,583
841,1689
223,334
690,1396
863,258
890,468
1001,1650
679,805
564,905
764,402
951,92
525,1498
994,1492
201,1380
743,702
487,716
457,1658
405,1613
932,618
250,786
760,1772
60,1751
28,1822
1021,1012
595,1363
135,1681
876,479
351,1782
736,85
543,538
656,287
567,850
247,1839
245,1041
427,1238
995,1086
621,131
254,1007
477,1475
715,208
325,1142
130,77
4,870
76,2
208,1918
969,649
893,1237
254,602
383,265
125,1592
666,74
679,118
21,1341
47,1495
832,1087
846,1041
197,339
630,1270
888,126
213,555
548,100
67,1803
317,1214
914,1376
505,1741
525,331
560,1013
909,1330
982,1693
878,548
276,227
470,96
241,578
1015,1312
405,592
124,585
597,626
104,763
435,712
648,769
1038,233
869,888
406,885
1033,589
293,860
469,1393
966,1332
274,599
423,1857
784,1696
840,1178
59,610
406,1283
197,1267
145,1829
1062,126
1072,55
1010,1765
287,1173
791,904
398,299
369,1119
923,1904
673,387
1004,1201
713,732
667,1892
1060,1125
792,894
1076,1209
32,1524
243,61
764,760
676,1698
454,823
289,982
208,338
436,644
688,731
592,681
386,966
40,712
460,820
912,752
52,1637
532,859
466,1074
647,1879
888,1300
223,537
465,896
773,1614
428,163
171,612
1038,601
170,617
502,1498
250,924
624,1579
258,1864
940,1066
120,701
494,1692
339,839
190,657
569,1137
714,293
210,1690
724,392
693,1491
266,1239
597,1872
868,120
761,405
687,1667
830,1819
226,1330
174,1044
172,1661
270,1656
97,974
618,1210
733,1619
236,1025
823,1523
221,1123
658,483
1059,1656
39,692
1069,513
161,1226
560,934
502,1140
993,550
401,1237
790,1480
305,489
559,1707
263,1575
425,599
1073,1274
817,1120
806,1566
474,1405
1040,1338
413,892
827,1337
768,1718
376,1506
409,1246
867,1616
857,1292
140,1689
624,1609
95,878
956,1770
442,145
768,652
229,958
362,1767
717,1741
99,1868
346,1589
747,1551
662,1661
211,1777
792,533
519,616
16,1172
698,49
1009,1805
480,1519
820,684
633,1383
812,1351
886,1338
740,1029
500,1844
623,1080
545,1063
589,1718
465,990
922,1136
704,1693
157,1678
370,1522
628,1014
851,1677
181,679
330,165
953,566
583,1342
924,1888
238,1179
846,1868
759,1389
556,1291
187,1359
299,1019
766,277
889,422
911,755
340,1903
610,1863
304,263
627,1172
93,520
565,1831
59,1053
682,225
565,1686
3,1153
65,1909
350,1006
674,92
10,1388
490,1628
701,1355
711,545
116,814
196,1376
656,872
312,271
719,526
605,749
1050,1005
395,1858
215,1622
325,1341
762,1400
714,436
964,379
675,1715
11,53
672,573
974,1092
712,1430
88,392
602,690
223,1612
1077,110
521,737
459,1580
555,1319
768,1720
462,1639
690,823
961,1214
171,513
757,970
760,499
958,1130
1050,1667
966,675
801,1475
740,960
485,370
152,1022
435,281
157,1238
52,1880
1068,1636
211,1753
561,1366
55,1346
865,982
55,1867
1051,359
78,254
303,1120
674,69
811,1683
1049,997
841,1543
469,896
252,133
434,1861
505,1911
639,700
711,1192
987,1276
517,1685
931,1216
276,1786
277,1709
278,543
523,130
770,267
834,234
1073,814
437,950
594,1281
453,1200
235,1241
933,518
864,1023
786,312
1041,1030
463,1053
212,808
502,480
909,1073
668,1016
18,1120
798,491
969,750
642,230
1045,506
1064,1096
320,1119
572,1294
983,156
1077,741
796,637
679,1357
526,1896
453,363
725,1887
169,536
317,27
386,199
1046,1564
548,1604
443,935
384,1572
25,1049
421,1
391,1489
372,1475
1,58
565,1700
747,1264
838,1846
319,427
910,197
159,967
513,496
28,1321
496,526
603,1437
1063,1068
455,202
5,353
301,1520
624,1852
703,922
235,1727
303,1775
361,317
808,438
632,159
841,1078
117,1270
434,1603
965,1679
150,110
347,769
381,879
813,803
1001,1771
309,1353
695,233
801,1147
603,633
701,94
1025,176
408,1619
958,1221
830,71
55,1774
469,500
9,699
292,1580
173,213
519,1711
921,172
21,21
127,1634
687,100
170,1676
921,261
1033,715
944,981
69,87
959,1348
18,1053
586,1310
881,1263
206,1382
11,1367
586,908
904,202
583,1231
256,754
555,1869
1027,838
439,74
966,173
362,1421
35,1280
119,1130
616,552
1055,1005
339,898
83,1756
378,1694
104,332
1074,1041
636,1651
200,834
1016,1861
773,1713
761,1045
281,419
533,1434
834,374
303,287
590,438
544,1236
826,680
241,1825
484,197
550,1278
684,1882
665,639
64,988
815,1893
661,1622
643,1372
406,326
86,1129
766,1870
783,517
956,732
423,1862
354,1275
506,958
0,655
239,244
742,506
173,1386
986,1721
445,26
44,513
728,1416
86,1225
339,1724
988,1760
241,1582
12,371
549,1193
400,296
277,980
878,389
412,667
44,652
438,536
675,644
16,1731
699,1755
774,1136
811,1480
381,979
543,741
388,110
920,864
770,1889
196,1113
118,1218
246,1478
371,730
737,1152
1027,1759
496,1789
682,531
925,84
788,1219
733,581
597,1117
556,1344
857,1200
525,1172
298,1055
407,1456
277,1097
231,1784
472,184
285,419
1013,806
942,800
341,1082
770,1169
307,921
1069,467
241,1547
404,1398
257,394
202,1823
186,726
398,869
349,1904
934,1661
541,1216
893,1109
51,1729
29,1872
459,1072
1004,272
945,1577
495,1283
167,1085
1012,685
537,1326
700,1300
612,1440
121,168
744,1670
697,442
515,1184
694,544
435,219
887,998
412,285
498,1863
833,1321
31,1645
782,956
989,930
328,1610
406,794
694,387
50,1776
946,1077
917,1867
590,1483
361,1546
887,1411
583,1543
686,620
17,1034
39,401
494,904
471,1459
288,948
606,829
929,1429
630,1278
127,282
746,754
724,1256
105,1165
346,495
34,1362
414,1899
14,700
398,1714
71,523
570,120
976,69
562,1864
623,463
401,3
564,938
423,1748
947,1028
162,1628
770,483
650,1615
102,540
860,1494
713,1783
821,1376
184,1295
289,1089
685,1136
1051,907
31,1744
198,649
190,1593
868,1339
64,1559
200,1814
587,367
310,87
103,1420
315,1742
90,688
493,50
1010,1876
161,1041
626,331
504,1666
319,1580
230,1107
1021,380
371,1004
519,1389
335,192
588,741
344,1559
902,1705
197,1014
891,1576
644,551
171,945
728,24
412,142
639,1328
937,368
120,998
269,1282
456,1417
568,1252
371,834
620,1600
217,42
295,67
126,790
150,1741
807,32
221,639
981,592
809,986
443,1164
465,1772
165,867
160,986
156,237
727,1610
915,1246
387,225
1013,1159
587,409
172,552
1003,1240
24,695
689,96
439,456
152,1919
561,419
691,1620
690,478
626,852
23,856
238,1301
1035,173
262,65
978,776
66,294
52,1406
913,1493
388,495
786,394
478,1326
86,1501
269,170
113,1290
502,1380
761,1111
447,548
898,95
745,1519
734,480
492,1866
588,32
858,1008
129,824
579,954
768,366
744,1682
714,516
39,1918
415,893
493,1649
596,1354
665,1380
465,1341
144,1069
988,1118
64,829
441,200
30,1564
